Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Apollo Tyres Limited,Tyres & rubber products,0.07,28.2,0.07%,-0.01%,0.08% (Jan 2024),0% (Mar 2023),54.40 k,0.00,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Coal India Ltd.",Coal,0.06,25.7,0.06%,0.00%,0.06% (Oct 2023),0% (Mar 2023),58.80 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Voltas Limited",Household appliances,1.23,23.3,0.06%,0.00%,0.07% (Jul 2023),0% (Mar 2023),21.00 k,0.00,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Bajaj Finserv Ltd",Holding company,0.07,23.1,0.06%,0.00%,0.09% (May 2023),0.06% (Jan 2024),14.50 k,0.00,Other,19.39,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Oil & Natural Gas Corporation Ltd.",Oil exploration & production,0.05,20.4,0.05%,0.00%,0.06% (Jul 2023),0% (Mar 2023),77.00 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Granules India Ltd.,Pharmaceuticals,1.49,19.5,0.05%,0.01%,0.06% (Jul 2023),0.04% (Jan 2024),42.00 k,0.00,Small Cap,5.29,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
National Thermal Power Corporation Ltd.",Power generation,0.04,16.1,0.04%,0.00%,0.04% (Aug 2023),0.03% (Apr 2023),48.00 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Bharti Airtel Ltd. - Partly Paid,Telecom - cellular & fixed line services,0.54,14.5,0.03%,-0.01%,0.04% (Oct 2023),0.03% (Mar 2023),20.03 k,0.00,Other,19.39,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
InterGlobe Aviation Ltd.",Airline,0.03,12.3,0.03%,0.00%,0.1% (May 2023),0.03% (Nov 2023),3.90 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Mahindra & Mahindra Ltd.",Passenger cars & utility vehicles,2.06,12.2,0.03%,0.00%,0.04% (Jul 2023),0.03% (Mar 2023),6.30 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Marico Ltd.",Personal care,0.18,10.7,0.03%,0.00%,0.1% (May 2023),0.03% (Nov 2023),20.40 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
ITC Limited,Diversified fmcg,0.3,10.4,0.02%,-0.01%,0.05% (Sep 2023),0% (Mar 2023),25.60 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"#
Dixon Technologies (India) Ltd.",Consumer electronics,0.02,6.7,0.02%,0.02%,0.02% (Feb 2024),0% (Mar 2023),1.00 k,1.00 k,Other,19.39,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Infrastructure Development Finance Company Limited,Holding company,0.07,5.8,0.01%,-0.01%,0.02% (Oct 2023),0.01% (Feb 2024),50.00 k,0.00,Small Cap,5.29,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Aurobindo Pharma Ltd.,Pharmaceuticals,1.49,5.7,0.01%,-0.01%,0.02% (Nov 2023),0% (Mar 2023),5.50 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Godrej Consumer Products Ltd",Personal care,0.18,5,0.01%,0.00%,0.02% (Jul 2023),0% (Mar 2023),4.00 k,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"#
National Aluminium Co. Ltd.",Aluminium,0.11,4.7,0.01%,0.01%,0.01% (Feb 2024),0% (Mar 2023),30.00 k,30.00 k,Small Cap,5.29,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
Titan Company Ltd.","Gems, jewellery and watches",0,1.3,0.00%,0.00%,0% (Feb 2024),0% (Mar 2023),350.00,350.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
"-
United Spirits Ltd.",Breweries & distilleries,0,0.8,0.00%,0.00%,0% (Jul 2023),0% (Nov 2023),700.00,0.00,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Bond - Tata Communications Ltd.,Telecom - cellular & fixed line services,0.54,497.9,0.00%,-1.28%,-,-,-,-,Other,19.39,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Margin,Other,,100,0.00%,-0.26%,-,-,-,-,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Cipla Ltd.,Pharmaceuticals,1.49,175.6,0.00%,-0.45%,-,-,-,-,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,1.49,13.8,0.00%,-0.04%,-,-,-,-,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Relaxo Footwears Ltd.,Footwear,,172,0.00%,-0.44%,-,-,-,-,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Indian Hotels Company Limited,Hotels & resorts,1.55,25.6,0.00%,-0.07%,-,-,-,-,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Ashok Leyland Ltd.,Commercial vehicles,,143.4,0.00%,-0.37%,-,-,-,-,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,0.18,319,0.00%,-0.82%,-,-,-,-,Large Cap,31.83,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Steel Authority Of India Ltd.,Iron & steel products,0.72,177.4,0.00%,-0.46%,-,-,-,-,Mid Cap,10.43,sbi-equity-savings-fund-direct-plan-growth,MSB1142,Equity,02_Equity_saving
Reliance Industries Ltd.,Refineries & marketing,5.95,131.9,5.58%,0.17%,6.54% (Jun 2023),2.34% (Aug 2023),45.14 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
HDFC Bank Ltd.,Private sector bank,15.22,118.8,5.03%,-0.17%,9.96% (Mar 2023),5.03% (Feb 2024),84.63 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
ICICI Bank Ltd.,Private sector bank,15.22,105.3,4.46%,0.13%,7.64% (Jul 2023),4.33% (Jan 2024),1.00 L,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Tata Power Co. Ltd.,Integrated power utilities,3.29,77.8,3.29%,-0.14%,3.43% (Jan 2024),2% (Mar 2023),2.09 L,0.00,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Tata Motors Ltd.,Passenger cars & utility vehicles,4.15,72.7,3.08%,0.16%,3.08% (Feb 2024),0% (Mar 2023),76.50 k,-2.00 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Indusind Bank Ltd.,Private sector bank,15.22,64.2,2.71%,-0.09%,2.94% (Dec 2023),0.68% (Mar 2023),43.50 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Larsen & Toubro Ltd.,Civil construction,2.61,61.6,2.61%,0.02%,3.33% (Jul 2023),1.4% (Mar 2023),17.72 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
ITC Limited,Diversified fmcg,2.97,57.3,2.42%,-0.20%,3.77% (Jul 2023),1.45% (Mar 2023),1.41 L,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Ambuja Cements Ltd.,Cement & cement products,3.95,54.5,2.31%,0.19%,2.31% (Feb 2024),0% (Mar 2023),90.00 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Bajaj Finance Ltd.,Non banking financial company (nbfc),2.1,49.7,2.10%,-0.54%,3.33% (Sep 2023),0.69% (Mar 2023),7.65 k,-1.50 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Tata Steel Ltd.,Iron & steel products,1.84,43.4,1.84%,0.08%,1.9% (Apr 2023),1.35% (May 2023),3.08 L,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Adani Ports And Special Economic Zone Ltd.,Port & port services,1.7,40.1,1.70%,0.16%,1.7% (Feb 2024),0% (Mar 2023),30.40 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Bajaj Finserv Ltd,Holding company,1.69,39.8,1.69%,-0.02%,1.79% (Nov 2023),0% (Mar 2023),25.00 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Kotak Mahindra Bank Ltd.,Private sector bank,15.22,34.8,1.47%,0.43%,1.47% (Feb 2024),0% (Mar 2023),20.60 k,7.00 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Hindalco Industries Ltd.,Aluminium,1.37,32.5,1.37%,-0.20%,1.68% (Dec 2023),0% (Mar 2023),64.40 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2.41,28.4,1.20%,-0.42%,2.99% (Jun 2023),1.2% (Feb 2024),18.00 k,-9.10 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Tata Consultancy Services Ltd.,Computers - software & consulting,4.93,27.6,1.17%,0.09%,2.46% (Mar 2023),1.08% (Dec 2023),6.75 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Nestle India Ltd.,Packaged foods,1.15,27.3,1.15%,0.04%,1.15% (Feb 2024),0.65% (Mar 2023),10.50 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,1.11,26.2,1.11%,-0.04%,2.03% (Aug 2023),0.99% (Jun 2023),23.31 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
HCL Technologies Limited,Computers - software & consulting,4.93,25.6,1.08%,0.06%,1.08% (Feb 2024),0.72% (Jul 2023),15.40 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,4.15,25.4,1.07%,-0.64%,3.38% (Apr 2023),1.07% (Feb 2024),2.25 k,-1.75 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Trent Limited,Speciality retail,0.97,22.9,0.97%,-0.06%,1.18% (Nov 2023),0.77% (May 2023),5.90 k,-2.00 k,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Zomato Ltd.,E-retail/ e-commerce,0.96,22.6,0.96%,0.08%,0.96% (Feb 2024),0% (Mar 2023),1.37 L,-0.13 L,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
ABB Power Products and Systems India Ltd.,Heavy electrical equipment,1.52,21.7,0.92%,0.02%,0.92% (Feb 2024),0% (Mar 2023),3.62 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Axis Bank Ltd.,Private sector bank,15.22,21.6,0.91%,0.01%,1.85% (Nov 2023),0.81% (Jul 2023),20.10 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Wipro Ltd.,Computers - software & consulting,4.93,19,0.81%,0.27%,0.81% (Feb 2024),0% (Mar 2023),36.70 k,10.00 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Ultratech Cement Ltd.,Cement & cement products,3.95,18.3,0.77%,-0.02%,1.67% (Mar 2023),0.77% (Feb 2024),1.85 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
eClerx Services Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),0.77,18.2,0.77%,-0.15%,0.92% (Jan 2024),0% (Mar 2023),7.20 k,-0.80 k,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
TVS Motor Company Ltd.,2/3 wheelers,0.72,16.9,0.72%,-0.03%,0.84% (Nov 2023),0.46% (Mar 2023),7.90 k,-1.00 k,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
NLC India Ltd.,Power generation,0.71,16.7,0.71%,-0.15%,0.86% (Jan 2024),0.57% (Mar 2023),75.20 k,-4.00 k,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Indian Hotels Company Limited,Hotels & resorts,0.71,16.7,0.71%,0.12%,0.71% (Feb 2024),0.53% (Dec 2023),28.50 k,0.00,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
LTIMindtree Ltd.,Computers - software & consulting,4.93,16.7,0.71%,-0.48%,1.38% (Dec 2023),0% (Mar 2023),3.15 k,-2.05 k,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Ajanta Pharma Limited,Pharmaceuticals,2.41,15.5,0.65%,0.01%,0.65% (Feb 2024),0% (Mar 2023),7.00 k,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
The Jammu & Kashmir Bank Ltd.,Private sector bank,15.22,15,0.64%,0.05%,0.64% (Feb 2024),0% (Mar 2023),1.05 L,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
BSE Ltd.,Exchange and data platform,0.63,14.9,0.63%,0.01%,0.67% (Nov 2023),0% (Mar 2023),6.30 k,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"-
Bharat Heavy Electricals Ltd.",Heavy electrical equipment,1.52,14.2,0.60%,0.00%,0.6% (Jan 2024),0% (Mar 2023),62.50 k,0.00,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Brigade Enterprises Ltd.,"Residential, commercial projects",0.57,13.5,0.57%,-0.01%,0.72% (Nov 2023),0.4% (Mar 2023),13.50 k,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"-
Concord Biotech Ltd.",Pharmaceuticals,2.41,13.3,0.56%,0.00%,0.63% (Dec 2023),0% (Mar 2023),9.12 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Hindustan Unilever Ltd.,Diversified fmcg,2.97,13,0.55%,-0.01%,2.31% (Jun 2023),0.55% (Feb 2024),5.40 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Birla Corporation Ltd.,Cement & cement products,3.95,12.3,0.52%,0.04%,0.52% (Feb 2024),0% (Mar 2023),7.50 k,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"#
Mphasis Ltd.",Computers - software & consulting,4.93,11.8,0.50%,0.50%,0.5% (Feb 2024),0% (Mar 2023),4.50 k,4.50 k,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
State Bank Of India,Public sector bank,0.92,11.3,0.48%,0.07%,1.55% (Apr 2023),0.41% (Jan 2024),15.10 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Westlife Development Ltd.,Restaurants,0.47,11.2,0.47%,-0.05%,0.57% (Nov 2023),0% (Mar 2023),14.90 k,0.00,Small Cap,4.96,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Punjab National Bank,Public sector bank,0.92,10.4,0.44%,-0.16%,0.6% (Jan 2024),0% (Mar 2023),85.00 k,-0.40 L,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Titan Company Ltd.,"Gems, jewellery and watches",0.43,10.2,0.43%,-0.01%,1.1% (Aug 2023),0.4% (Oct 2023),2.80 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
SRF Ltd.,Specialty chemicals,0.42,9.9,0.42%,0.02%,0.43% (May 2023),0.38% (Jul 2023),4.13 k,0.00,Mid Cap,7.92,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"#
Bharat Petroleum Corporation Ltd.",Refineries & marketing,5.95,8.7,0.37%,0.37%,0.37% (Feb 2024),0% (Mar 2023),14.40 k,14.40 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"-
Grasim Industries Limited",Cement & cement products,3.95,8.3,0.35%,0.00%,0.35% (Feb 2024),0% (Mar 2023),3.80 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Tech Mahindra Ltd.,Computers - software & consulting,4.93,8.3,0.35%,-0.01%,0.65% (Dec 2023),0% (Mar 2023),6.50 k,0.00,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"#
Infosys Ltd.",Computers - software & consulting,4.93,7.4,0.31%,0.31%,2.54% (May 2023),0% (Mar 2023),4.40 k,4.40 k,Large Cap,41.21,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"#
Dixon Technologies (India) Ltd.",Consumer electronics,0.28,6.7,0.28%,0.28%,0.28% (Feb 2024),0% (Mar 2023),1.00 k,1.00 k,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
"-
India Shelter Finance Corporation Ltd.",Housing finance company,0.08,2,0.08%,0.00%,0.08% (Feb 2024),0% (Mar 2023),3.09 k,0.00,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Affle India Ltd.,It enabled services,,14.9,0.00%,-0.63%,-,-,-,-,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Five-Star Business Finance Ltd.,Non banking financial company (nbfc),2.1,9.1,0.00%,-0.38%,-,-,-,-,Other,12.51,baroda-bnp-paribas-equity-savings-fund-direct-plan-growth,MBO257,Equity,02_Equity_saving
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,3.5,135.9,9.60%,0.62%,9.6% (Feb 2024),6.62% (May 2023),86.10 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
United Spirits Ltd.,Breweries & distilleries,-0.040000000000001,119.2,8.42%,0.23%,10.62% (May 2023),8.19% (Jan 2024),1.02 L,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
State Bank Of India,Public sector bank,0.53,78.6,5.55%,0.61%,5.55% (Feb 2024),4.31% (Mar 2023),1.05 L,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Ambuja Cements Ltd.,Cement & cement products,-0.03,54.5,3.85%,0.14%,3.85% (Feb 2024),2.58% (Mar 2023),90.00 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Axis Bank Ltd.,Private sector bank,1.15,43,3.04%,-0.10%,3.45% (Nov 2023),0% (Mar 2023),40.00 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Avenue Supermarts Ltd.,Diversified retail,1.54,21.9,1.54%,0.28%,1.54% (Feb 2024),0.72% (Mar 2023),5.58 k,1.05 k,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Trent Limited,Speciality retail,1.49,21.2,1.49%,0.25%,1.49% (Feb 2024),0.85% (Sep 2023),5.45 k,0.00,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Tata Consultancy Services Ltd.,Computers - software & consulting,1.78,19.4,1.37%,0.04%,1.38% (Dec 2023),0% (Mar 2023),4.73 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
HDFC Life Insurance Company Ltd.,Life insurance,0.74,19.2,1.36%,-0.04%,3.35% (Nov 2023),1.36% (Feb 2024),33.00 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Jio Financial Services Ltd.,Non banking financial company (nbfc),2.27,19.2,1.36%,0.23%,1.36% (Feb 2024),0% (Mar 2023),61.90 k,0.00,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Infosys Ltd.,Computers - software & consulting,1.78,16.7,1.18%,0.19%,2.21% (Mar 2023),0.79% (Nov 2023),9.97 k,1.84 k,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Zomato Ltd.,E-retail/ e-commerce,1.51,16.2,1.14%,0.14%,1.14% (Feb 2024),0% (Mar 2023),97.87 k,0.00,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Max Healthcare Institute Ltd.,Hospital,1.12,15.9,1.12%,0.07%,1.12% (Feb 2024),0.47% (Sep 2023),20.07 k,1.84 k,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
SBI Life Insurance Co Ltd.,Life insurance,0.74,15.3,1.08%,0.06%,1.08% (Feb 2024),0.26% (Mar 2023),9.87 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Abbott India Ltd.,Pharmaceuticals,3.5,14,0.99%,0.12%,1.11% (Mar 2023),0.71% (Sep 2023),491.00,34.00,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Equitas Small Finance Bank Ltd.,Other bank,0.94,13.3,0.94%,-0.08%,1.08% (Dec 2023),0% (Mar 2023),1.34 L,0.00,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
NHPC Ltd.,Power generation,0.94,13.3,0.94%,-0.07%,1.09% (Jul 2023),0.65% (Oct 2023),1.50 L,0.00,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Rural Electrification Corporation Limited,Financial institution,0.92,13,0.92%,-0.07%,1% (Dec 2023),0% (Mar 2023),29.48 k,2.50 k,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Bajaj Finance Ltd.,Non banking financial company (nbfc),2.27,12.8,0.91%,-0.09%,1% (Jan 2024),0% (Mar 2023),1.97 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Voltas Limited,Household appliances,0.88,12.5,0.88%,-0.02%,0.9% (Jan 2024),0.46% (Jun 2023),11.23 k,0.00,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Associated Cement Companies Ltd.,Cement & cement products,-0.03,11,0.78%,-0.01%,0.79% (Jan 2024),0.52% (Mar 2023),4.20 k,0.00,Mid Cap,8.12,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Sobha Ltd.,"Residential, commercial projects",0.78,11,0.78%,0.15%,0.78% (Feb 2024),0% (Mar 2023),7.04 k,1.13 k,Small Cap,4.42,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
"-
Hindustan Aeronautics Ltd.",Aerospace & defense,1.45,10.8,0.77%,0.00%,1.23% (Apr 2023),0.4% (Oct 2023),3.51 k,0.00,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Kajaria Ceramics Ltd.,Ceramics,0.74,10.5,0.74%,-0.28%,1.03% (Mar 2023),0.54% (Dec 2023),8.25 k,-1.73 k,Small Cap,4.42,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
InterGlobe Aviation Ltd.,Airline,0.74,10.4,0.74%,0.02%,0.98% (Jun 2023),0.2% (Aug 2023),3.31 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Home First Finance Company India Ltd.,Housing finance company,0.94,10.3,0.73%,-0.13%,0.86% (Jan 2024),0% (Mar 2023),11.84 k,0.00,Other,-23.78,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
Indusind Bank Ltd.,Private sector bank,1.15,9.9,0.70%,-0.06%,1.43% (Oct 2023),0% (Mar 2023),6.73 k,0.00,Large Cap,43.44,invesco-india-equity-savings-fund-direct-plan-growth,MLI1108,Equity,02_Equity_saving
