Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Sansera Engineering Ltd.,Auto components & equipments,8.85,752.6,1.49%,-0.04%,1.61% (Jul 2023),1.25% (Apr 2023),7.33 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Tata Consultancy Services Ltd.,Computers - software & consulting,13.24,706.4,1.40%,0.05%,1.41% (Sep 2023),1.29% (Apr 2023),1.72 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Galaxy Surfactants Ltd.,Specialty chemicals,1.83,655.8,1.30%,-0.16%,3.11% (Jun 2023),1.3% (Feb 2024),2.59 L,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Zomato Ltd.,E-retail/ e-commerce,1.29,651.2,1.29%,0.16%,1.29% (Feb 2024),0% (Mar 2023),39.36 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,3.89,647,1.28%,-0.15%,1.43% (Jan 2024),0.97% (Mar 2023),4.14 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Voltas Limited,Household appliances,4.89,621.4,1.23%,0.22%,1.46% (Mar 2023),0.61% (Jun 2023),5.60 L,1.08 L,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Bharat Electronics Ltd.,Aerospace & defense,1.68,616.1,1.22%,0.24%,1.22% (Feb 2024),0% (Mar 2023),30.04 L,4.35 L,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Krishna Institute of Medical Sciences Ltd.,Hospital,6.68,594.6,1.18%,-0.28%,4.17% (Jun 2023),1.18% (Feb 2024),2.63 L,-0.70 L,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Jio Financial Services Ltd.,Non banking financial company (nbfc),8.04,565.3,1.12%,0.34%,1.12% (Feb 2024),0% (Mar 2023),18.23 L,3.00 L,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
State Bank Of India,Public sector bank,1.51,544.5,1.08%,0.53%,2.07% (May 2023),0.51% (Nov 2023),7.28 L,3.11 L,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
CCL Products (India) Ltd.,Tea & coffee,0.97,491.4,0.97%,-0.10%,1.82% (Jun 2023),0.97% (Feb 2024),7.80 L,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Solar Industries India Ltd.,Explosives,0.97,488.9,0.97%,0.01%,0.97% (Feb 2024),0% (Mar 2023),72.64 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
National Thermal Power Corporation Ltd.,Power generation,0.92,467.2,0.92%,0.01%,0.92% (Feb 2024),0% (Mar 2023),13.92 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Cummins India Ltd.,"Compressors, pumps & diesel engines",0.9,455.7,0.90%,0.15%,0.9% (Feb 2024),0% (Mar 2023),1.66 L,7.30 k,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Sona BLW Precision Forgings Ltd.,Auto components & equipments,8.85,455.2,0.90%,0.06%,0.9% (Aug 2023),0.32% (Mar 2023),6.60 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"#
Coal India Ltd.",Coal,0.9,452.4,0.90%,0.90%,0.9% (Feb 2024),0% (Mar 2023),10.36 L,10.36 L,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,0.88,446.9,0.88%,-0.08%,0.96% (Jan 2024),0% (Mar 2023),3.98 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,3.89,438.6,0.87%,0.06%,1.8% (Mar 2023),0% (Mar 2023),2.78 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Mankind Pharma Ltd.,Pharmaceuticals,3.89,423.5,0.84%,0.09%,0.84% (Feb 2024),0% (Mar 2023),1.98 L,15.14 k,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Rainbow Childrens Medicare Ltd.,Hospital,6.68,416.7,0.82%,0.05%,1.26% (Jul 2023),0.71% (Nov 2023),3.07 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Bajaj Auto Ltd.,2/3 wheelers,2.31,395.5,0.78%,-0.01%,0.79% (Jan 2024),0% (Mar 2023),50.00 k,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Varun Beverages Ltd.,Other beverages,0.77,386.6,0.77%,0.30%,0.77% (Feb 2024),0% (Mar 2023),2.75 L,93.82 k,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Rolex Rings Private Ltd.,Auto components & equipments,8.85,374.5,0.74%,-0.16%,0.97% (Dec 2023),0.74% (Feb 2024),1.83 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Crompton Greaves Consumer Electricals Ltd.,Household appliances,4.89,373.6,0.74%,-0.06%,0.91% (Sep 2023),0.74% (Feb 2024),12.84 L,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Tata Power Co. Ltd.,Integrated power utilities,0.74,371.8,0.74%,-0.06%,0.8% (Jan 2024),0% (Mar 2023),10.00 L,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,0.72,363.3,0.72%,-0.07%,0.79% (Jan 2024),0% (Mar 2023),8.20 L,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Ultratech Cement Ltd.,Cement & cement products,1.23,345.9,0.68%,-0.05%,0.95% (Jul 2023),0.66% (Sep 2023),34.97 k,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Craftsman Automation Ltd.,Auto components & equipments,8.85,331.5,0.66%,-0.05%,0.9% (Oct 2023),0.05% (Apr 2023),79.14 k,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Go Fashion (India) Ltd.,Speciality retail,4.59,326,0.65%,-0.21%,1.33% (Apr 2023),0.65% (Feb 2024),2.88 L,-0.93 L,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Motherson Sumi Wiring India Ltd.,Auto components & equipments,8.85,323.9,0.64%,0.02%,1.05% (Sep 2023),0.6% (Dec 2023),46.17 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
ICICI Prudential Life Insurance Co Ltd.,Life insurance,0.94,273.5,0.54%,0.01%,0.62% (Nov 2023),0% (Mar 2023),5.13 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Fine Organic Industries Ltd.,Specialty chemicals,1.83,265.5,0.53%,-0.06%,1.36% (Jun 2023),0.53% (Feb 2024),61.30 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"-
Oil & Natural Gas Corporation Ltd.",Oil exploration & production,0.52,264.6,0.52%,0.00%,0.52% (Feb 2024),0% (Mar 2023),10.00 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
KEI Industries Ltd.,Cables - electricals,0.5,254.9,0.50%,-0.02%,0.54% (Dec 2023),0% (Mar 2023),79.40 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Dixon Technologies (India) Ltd.,Consumer electronics,0.49,248.3,0.49%,0.03%,0.51% (Dec 2023),0% (Mar 2023),37.15 k,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
United Spirits Ltd.,Breweries & distilleries,0.49,247.9,0.49%,0.01%,0.62% (Oct 2023),0% (Mar 2023),2.13 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Cipla Ltd.,Pharmaceuticals,3.89,234.6,0.46%,0.02%,0.46% (Feb 2024),0% (Mar 2023),1.58 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Bharat Dynamics Ltd.,Aerospace & defense,1.68,233.8,0.46%,0.01%,0.46% (Feb 2024),0% (Mar 2023),1.29 L,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,3.89,222.3,0.44%,0.01%,0.44% (Feb 2024),0% (Mar 2023),83.38 k,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Mrs.Bectors Food Specialities Ltd.,Packaged foods,0.41,208,0.41%,-0.26%,0.83% (Nov 2023),0% (Mar 2023),1.96 L,-0.80 L,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"#
Life Insurance Corporation Of India",Life insurance,0.94,204.6,0.40%,0.40%,0.4% (Feb 2024),0% (Mar 2023),2.00 L,2.00 L,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"#
Apar Industries Ltd.",Other electrical equipment,0.4,203.6,0.40%,0.40%,0.4% (Feb 2024),0% (Mar 2023),32.56 k,32.56 k,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Pi Industries Ltd.,Pesticides & agrochemicals,0.4,200.3,0.40%,0.02%,0.44% (Nov 2023),0% (Mar 2023),54.54 k,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
CIE AUTOMOTIVE INDIA Ltd.,Auto components & equipments,8.85,188.9,0.37%,-0.06%,2.22% (Sep 2023),0% (Mar 2023),4.29 L,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Prestige Estates Projects Ltd.,"Residential, commercial projects",8,187.9,0.37%,-0.05%,0.42% (Jan 2024),0% (Mar 2023),1.61 L,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"-
J.K. Cement Ltd.",Cement & cement products,1.23,183.7,0.36%,0.00%,0.36% (Feb 2024),0.28% (Apr 2023),40.70 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Indian Bank,Public sector bank,1.51,178.6,0.35%,0.08%,0.35% (Feb 2024),0% (Mar 2023),3.40 L,77.93 k,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Indian Oil Corporation Ltd.,Refineries & marketing,2.65,165.6,0.33%,0.03%,0.33% (Feb 2024),0% (Mar 2023),10.00 L,0.00,Large Cap,29.16,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Mphasis Ltd.,Computers - software & consulting,13.24,162.1,0.32%,-0.20%,1.75% (Mar 2023),0.32% (Feb 2024),61.93 k,-0.35 L,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Jupiter Life Line Hospitals Ltd.,Hospital,6.68,158.7,0.31%,0.06%,0.31% (Feb 2024),0% (Mar 2023),1.15 L,0.00,Other,23.27,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Navin Flourine International Ltd.,Commodity chemicals,0.3,151.1,0.30%,-0.05%,0.53% (Aug 2023),0% (Mar 2023),50.00 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
The Ramco Cements Ltd.,Cement & cement products,1.23,96.5,0.19%,-0.05%,0.45% (Sep 2023),0.19% (Feb 2024),1.16 L,0.00,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
Bata India Ltd.,Footwear,0.13,63.8,0.13%,-0.06%,1.73% (Jul 2023),0.13% (Feb 2024),45.29 k,-0.17 L,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"#
Bank Of India",Public sector bank,1.51,41.1,0.08%,0.08%,0.08% (Feb 2024),0% (Mar 2023),3.13 L,3.13 L,Mid Cap,14.93,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
"-
Can Fin Homes Ltd.",Housing finance company,0.07,35.3,0.07%,0.00%,0.98% (Oct 2023),0.07% (Feb 2024),45.60 k,0.00,Small Cap,31.25,axis-multicap-fund-direct-plan-growth,MAA957,Equity,07_multi
HDFC Bank Ltd.,Private sector bank,13.9,1069.1,4.38%,0.28%,6.64% (Aug 2023),0% (Mar 2023),7.62 L,99.43 k,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
ICICI Bank Ltd.,Private sector bank,13.9,723,2.96%,-0.03%,3.5% (Aug 2023),0% (Mar 2023),6.87 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
State Bank Of India,Public sector bank,4.06,688.9,2.82%,0.32%,2.88% (Nov 2023),0% (Mar 2023),9.21 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Axis Bank Ltd.,Private sector bank,13.9,679.3,2.78%,-0.08%,2.86% (Jan 2024),0% (Mar 2023),6.32 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Larsen & Toubro Ltd.,Civil construction,2.77,675.8,2.77%,0.10%,2.94% (Oct 2023),0% (Mar 2023),1.94 L,13.00 k,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Gujarat State Petronet Ltd.,Gas transmission/marketing,2.12,516.3,2.12%,-0.06%,2.18% (Jan 2024),0% (Mar 2023),14.00 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Delhivery Ltd.,Logistics solution provider,3.94,504.4,2.07%,0.04%,2.07% (Feb 2024),0% (Mar 2023),10.66 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Wipro Ltd.,Computers - software & consulting,6.3,497.6,2.04%,0.10%,2.04% (Feb 2024),0% (Mar 2023),9.60 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
National Thermal Power Corporation Ltd.,Power generation,2.54,490.8,2.01%,0.04%,2.35% (Oct 2023),0% (Mar 2023),14.62 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Kotak Mahindra Bank Ltd.,Private sector bank,13.9,482.5,1.98%,-0.23%,2.21% (Jan 2024),0% (Mar 2023),2.86 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Gland Pharma Ltd.,Pharmaceuticals,6.43,477.5,1.96%,-0.20%,2.37% (Nov 2023),0% (Mar 2023),2.70 L,9.64 k,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Care Ratings Ltd.,Ratings,1.93,470.4,1.93%,0.16%,1.93% (Feb 2024),0% (Mar 2023),4.05 L,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
HCL Technologies Limited,Computers - software & consulting,6.3,469.2,1.92%,-0.07%,2.32% (Dec 2023),0% (Mar 2023),2.82 L,-0.16 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Reliance Industries Ltd.,Refineries & marketing,1.9,464.2,1.90%,-0.02%,2.04% (Nov 2023),0% (Mar 2023),1.59 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Dabur India Ltd.,Personal care,1.85,452,1.85%,-0.07%,1.92% (Jan 2024),0% (Mar 2023),8.40 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Federal Bank Ltd.,Private sector bank,13.9,439.4,1.80%,-0.02%,1.91% (Oct 2023),0% (Mar 2023),29.22 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Vijaya Diagnostic Centre Ltd.,Healthcare service provider,2.14,414.2,1.70%,0.18%,1.7% (Feb 2024),0% (Mar 2023),6.43 L,1.00 L,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Crompton Greaves Consumer Electricals Ltd.,Household appliances,2.76,412.5,1.69%,-0.13%,1.99% (Dec 2023),0% (Mar 2023),14.17 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Lupin Ltd.,Pharmaceuticals,6.43,404,1.66%,0.07%,1.66% (Feb 2024),0% (Mar 2023),2.49 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Teamlease Services Ltd.,Diversified commercial services,1.65,402.9,1.65%,0.03%,1.93% (Dec 2023),0% (Mar 2023),1.34 L,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Ceat Ltd.,Tyres & rubber products,1.6,391.1,1.60%,0.56%,1.6% (Feb 2024),0% (Mar 2023),1.37 L,44.29 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
RPG Life Sciences Ltd,Pharmaceuticals,6.43,355.5,1.46%,0.03%,1.46% (Feb 2024),0% (Mar 2023),2.34 L,25.55 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Bayer Cropscience Ltd.,Pesticides & agrochemicals,1.45,352.9,1.45%,-0.13%,1.58% (Jan 2024),0% (Mar 2023),62.25 k,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"-
LIC Housing Finance Ltd.",Housing finance company,1.63,352.2,1.44%,0.00%,1.51% (Sep 2023),0% (Mar 2023),5.44 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,2.21,340.7,1.40%,-0.10%,1.5% (Nov 2023),0% (Mar 2023),21.72 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
ITC Limited,Diversified fmcg,1.44,331.3,1.36%,0.75%,1.36% (Feb 2024),0% (Mar 2023),8.15 L,4.89 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Eicher Motors Ltd.,2/3 wheelers,1.33,325.2,1.33%,0.04%,1.41% (Nov 2023),0% (Mar 2023),85.74 k,6.61 k,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"-
Tata Steel Ltd.",Iron & steel products,1.29,316,1.29%,0.00%,1.52% (Aug 2023),0% (Mar 2023),22.43 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Aurobindo Pharma Ltd.,Pharmaceuticals,6.43,314.8,1.29%,-0.20%,1.54% (Nov 2023),0% (Mar 2023),3.06 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Indigo Paints Ltd.,Paints,1.26,308,1.26%,-0.09%,1.35% (Jan 2024),0% (Mar 2023),2.20 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,1.26,306.5,1.26%,-0.09%,2.45% (Sep 2023),0% (Mar 2023),2.73 L,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Data Patterns India Ltd.,Aerospace & defense,1.26,306.2,1.26%,0.27%,1.26% (Feb 2024),0% (Mar 2023),1.23 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Indian Bank,Public sector bank,4.06,302.5,1.24%,0.02%,1.24% (Feb 2024),0% (Mar 2023),5.76 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Prestige Estates Projects Ltd.,"Residential, commercial projects",2.15,295.1,1.21%,-0.14%,1.35% (Jan 2024),0% (Mar 2023),2.53 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Gateway Rail Freight Ltd.,Logistics solution provider,3.94,290.9,1.19%,-0.09%,1.42% (Nov 2023),0% (Mar 2023),26.91 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Jyothy Laboratories Ltd.,Household products,1.18,287.5,1.18%,0.17%,1.26% (Dec 2023),0% (Mar 2023),6.22 L,1.60 L,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Fortis Healthcare Ltd.,Hospital,1.1,268.9,1.10%,-0.42%,1.58% (Dec 2023),0% (Mar 2023),6.59 L,-1.75 L,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Whirlpool Of India Ltd.,Household appliances,2.76,261.2,1.07%,0.40%,1.07% (Feb 2024),0% (Mar 2023),2.08 L,91.03 k,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Bata India Ltd.,Footwear,2.05,255.8,1.05%,-0.09%,1.67% (Sep 2023),0% (Mar 2023),1.81 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
SBI Life Insurance Co Ltd.,Life insurance,1.04,253.8,1.04%,-0.01%,1.9% (Oct 2023),0% (Mar 2023),1.63 L,-0.14 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Century Plyboards India Ltd.,Plywood boards/ laminates,1.03,250.9,1.03%,-0.15%,1.18% (Jan 2024),0% (Mar 2023),3.55 L,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Associated Cement Companies Ltd.,Cement & cement products,1.81,249.7,1.02%,-0.32%,1.59% (Oct 2023),0% (Mar 2023),94.97 k,-0.30 L,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Nrb Bearings Ltd.,Abrasives & bearings,1.02,249.3,1.02%,-0.15%,1.34% (Sep 2023),0% (Mar 2023),8.06 L,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Campus Activewear Ltd.,Footwear,2.05,244.1,1.00%,-0.17%,1.26% (Dec 2023),0% (Mar 2023),10.01 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Motherson Sumi Wiring India Ltd.,Auto components & equipments,1.98,242.5,0.99%,0.04%,1.07% (Sep 2023),0% (Mar 2023),34.58 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Craftsman Automation Ltd.,Auto components & equipments,1.98,241.2,0.99%,0.05%,0.99% (Feb 2024),0% (Mar 2023),57.58 k,6.72 k,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Fusion Micro Finance Ltd.,Microfinance institutions,0.96,235.1,0.96%,-0.22%,1.18% (Jan 2024),0% (Mar 2023),4.28 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Kolte-Patil Developers Ltd.,"Residential, commercial projects",2.15,228.7,0.94%,-0.07%,1.03% (Dec 2023),0% (Mar 2023),4.89 L,22.81 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Nippon Life India Asset Management Ltd.,Asset management company,0.93,227.5,0.93%,-0.05%,1.46% (Oct 2023),0% (Mar 2023),4.41 L,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
InterGlobe Aviation Ltd.,Airline,0.88,213.9,0.88%,0.03%,0.98% (Aug 2023),0% (Mar 2023),67.79 k,0.00,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Cyient Ltd.,It enabled services,0.87,212.7,0.87%,-0.01%,0.88% (Jan 2024),0% (Mar 2023),1.05 L,0.00,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Shriram Finance Ltd.,Non banking financial company (nbfc),1.54,207.3,0.85%,-0.04%,0.92% (Oct 2023),0% (Mar 2023),85.00 k,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,0.83,201.9,0.83%,-0.25%,1.08% (Jan 2024),0% (Mar 2023),1.04 L,-0.50 L,Large Cap,34.14,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Page Industries Ltd.,Garments & apparels,0.81,197.3,0.81%,-0.10%,1.2% (Sep 2023),0% (Mar 2023),5.75 k,0.00,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Zomato Ltd.,E-retail/ e-commerce,2.21,196.8,0.81%,0.11%,1.48% (Sep 2023),0% (Mar 2023),11.90 L,0.00,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Coforge Ltd.,Computers - software & consulting,6.3,194.5,0.80%,-0.23%,1.76% (Nov 2023),0% (Mar 2023),29.67 k,-9.09 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
NMDC LTD,Industrial minerals,0.79,193.2,0.79%,-0.40%,1.41% (Dec 2023),0% (Mar 2023),8.55 L,-4.27 L,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Sudarshan Chemical Industries Ltd.,Dyes and pigments,0.79,192.4,0.79%,0.23%,0.79% (Feb 2024),0% (Mar 2023),3.27 L,74.27 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
"#
Dalmia Bharat Ltd.",Cement & cement products,1.81,192.4,0.79%,0.79%,0.79% (Feb 2024),0% (Mar 2023),95.00 k,95.00 k,Mid Cap,20.2,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Equitas Small Finance Bank Ltd.,Other bank,0.78,190.7,0.78%,0.25%,0.93% (Nov 2023),0% (Mar 2023),19.13 L,7.06 L,Other,29.26,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
Birlasoft Ltd.,Computers - software & consulting,6.3,189.9,0.78%,-0.02%,1.02% (Nov 2023),0% (Mar 2023),2.45 L,21.47 k,Small Cap,14.57,mirae-asset-multicap-fund-direct-plan-growth,MMAA027,Equity,07_multi
